a5300.lon6  rac1        Up     Normal  192.28 GB       0.00%               -2690150177415976277                        
b4956.lon6  rac1        Up     Normal  77.41 GB        1.04%               -2497996593314835114                        
a2.lon3  rac1        Up     Normal  277.93 GB       0.00%               -2305843009213693951                        
b5.lon6  rac1        Up     Normal  77.44 GB        1.04%               -2113689425112552789                        
a5404.lon6  rac1        Up     Normal  135.89 GB       0.00%               -1921535841011411626                        
b5157.lon6  rac1        Up     Normal  78.24 GB        1.04%               -1729382256910270463                        
a3.lon6  rac1        Up     Normal  262.33 GB       0.00%               -1537228672809129301                        
b5230.lon6  rac1        Up     Normal  76.95 GB        1.04%               -1345075088707988138                        
a6075.lon6  rac1        Up     Normal  195.46 GB       0.00%               -1152921504606846975                        
b5281.lon6  rac1        Up     Normal  78.32 GB        1.04%               -960767920505705813                         
a3.lon3  rac1        Up     Normal  255.96 GB       0.00%               -768614336404564650                         
b5417.lon6  rac1        Up     Normal  77.89 GB        1.04%               -576460752303423487                         
a6697.lon6  rac1        Up     Normal  134.89 GB       0.00%               -384307168202282325                         
b5431.lon6  rac1        Up     Normal  77.87 GB        1.04%               -192153584101141162                         
a4.lon6  rac1        Up     Normal  265.56 GB       0.00%               1                                           
b5482.lon6  rac1        Up     Normal  77.43 GB        1.04%               192153584101141163                          
a6884.lon6  rac1        Up     Normal  189.4 GB        0.00%               384307168202282326                          
b5599.lon6  rac1        Up     Normal  78.22 GB        1.04%               576460752303423489                          
a4.lon3  rac1        Up     Normal  257.41 GB       0.00%               768614336404564651                          
b6140.lon6  rac1        Up     Normal  76.84 GB        1.04%               960767920505705814                          
a6947.lon6  rac1        Up     Normal  134.73 GB       0.00%               1152921504606846977                         
b6425.lon6  rac1        Up     Normal  77.09 GB        1.04%               1345075088707988139                         
a5.lon6  rac1        Up     Normal  270.71 GB       0.00%               1537228672809129302                         
b662.lon6  rac1        Up     Normal  78.2 GB         1.04%               1729382256910270465                         
a7042.lon6  rac1        Up     Normal  192.8 GB        0.00%               1921535841011411627                         
b6723.lon6  rac1        Up     Normal  78.48 GB        1.04%               2113689425112552790                         
a5.lon3  rac1        Up     Normal  237.67 GB       0.00%               2305843009213693953                         
b687.lon6  rac1        Up     Normal  77.91 GB        1.04%               2497996593314835115                         
a7370.lon6  rac1        Up     Normal  135.87 GB       0.00%               2690150177415976278                         
b7353.lon6  rac1        Up     Normal  76.59 GB        1.04%               2882303761517117441                         
a6.lon6  rac1        Up     Normal  258.75 GB       0.00%               3074457345618258603                         
b7837.lon6  rac1        Up     Normal  76.6 GB         1.04%               3266610929719399766                         
a7396.lon6  rac1        Up     Normal  213.83 GB       0.00%               3458764513820540929                         
